game_duration,player1_champion,player1_kills,player1_deaths,player1_assists,player1_gold,player1_experience,player1_damage_dealt,player1_damage_taken,player1_creep_score,player1_wards,player2_champion,player2_kills,player2_deaths,player2_assists,player2_gold,player2_experience,player2_damage_dealt,player2_damage_taken,player2_creep_score,player2_wards,player3_champion,player3_kills,player3_deaths,player3_assists,player3_gold,player3_experience,player3_damage_dealt,player3_damage_taken,player3_creep_score,player3_wards,player4_champion,player4_kills,player4_deaths,player4_assists,player4_gold,player4_experience,player4_damage_dealt,player4_damage_taken,player4_creep_score,player4_wards,player5_champion,player5_kills,player5_deaths,player5_assists,player5_gold,player5_experience,player5_damage_dealt,player5_damage_taken,player5_creep_score,player5_wards,player6_champion,player6_kills,player6_deaths,player6_assists,player6_gold,player6_experience,player6_damage_dealt,player6_damage_taken,player6_creep_score,player6_wards,player7_champion,player7_kills,player7_deaths,player7_assists,player7_gold,player7_experience,player7_damage_dealt,player7_damage_taken,player7_creep_score,player7_wards,player8_champion,player8_kills,player8_deaths,player8_assists,player8_gold,player8_experience,player8_damage_dealt,player8_damage_taken,player8_creep_score,player8_wards,player9_champion,player9_kills,player9_deaths,player9_assists,player9_gold,player9_experience,player9_damage_dealt,player9_damage_taken,player9_creep_score,player9_wards,player10_champion,player10_kills,player10_deaths,player10_assists,player10_gold,player10_experience,player10_damage_dealt,player10_damage_taken,player10_creep_score,player10_wards,team1_turret_plates,team1_turrets,team1_dragons,team1_grubs,team2_turret_plates,team2_turrets,team2_dragons,team2_grubs,Winning team
1491,82,4,2,0,6326,7921,7639,9738,107,8,131,5,1,4,7349,7541,6951,13198,117,6,157,3,1,1,6171,8130,5343,8594,115,7,221,2,2,1,5785,4941,4156,6454,120,5,267,0,1,5,4252,4610,4082,4744,22,9,86,1,4,0,5160,7150,6272,9807,106,3,233,2,3,2,6021,6481,4859,11564,87,2,103,1,3,0,4894,6716,6555,6187,105,4,360,3,2,0,5742,5002,7627,6837,119,2,117,0,2,2,3608,4462,3286,5466,14,13,8,3,2,6,5,1,0,0,1
2447,31,5,3,1,6639,7972,9926,13558,91,5,32,2,6,2,5161,5372,5473,18464,86,1,45,1,4,3,4698,6596,7779,11200,79,5,523,5,6,2,6131,5266,11479,10834,95,5,235,2,4,3,4557,4574,4628,9809,10,10,875,4,4,1,5500,6795,11426,13380,100,3,59,3,2,3,5343,6021,7460,13564,87,3,69,4,2,3,5519,7656,8191,8716,80,3,360,10,4,4,9265,7514,15456,12268,126,0,78,2,3,3,4547,4392,6768,8526,24,8,6,1,0,6,5,0,2,0,0
1466,19,1,4,3,4408,6334,5781,10372,83,267,234,5,0,1,6208,6065,4805,14481,93,5,90,1,3,1,4912,7001,3448,6225,117,3,29,2,6,4,4799,4904,7039,9776,69,5,9,1,4,5,4996,4234,11357,10258,37,9,122,4,3,0,6317,8020,7498,9986,108,3,62,3,2,3,5075,5225,5019,11821,73,4,134,3,0,1,6523,9089,8120,3905,132,3,360,5,2,1,5995,5164,8090,10933,103,3,201,2,3,4,4431,4076,4707,9788,14,10,3,0,0,5,5,2,1,1,0
1757,79,2,3,1,5434,7136,10281,11717,99,4,234,2,0,3,5696,5741,4270,15187,94,1,131,0,0,2,5169,7221,7617,3809,114,6,29,6,1,2,6916,5580,9059,6217,111,5,117,1,3,4,3898,4478,2888,5372,14,9,266,2,3,1,4592,6463,10169,14774,78,6,32,2,1,2,5241,4997,2274,12616,81,5,45,1,1,1,4533,6934,4036,7146,101,6,22,2,4,1,5091,4768,4730,6505,104,4,89,0,2,2,3492,3956,4208,6391,19,11,8,0,2,0,3,0,0,6,1
3541,133,3,4,3,5447,6425,6733,8457,74,5,35,4,3,3,5591,5334,5973,11774,79,3,63,1,4,1,4793,6557,4532,8012,95,5,81,1,0,1,5270,5718,3552,4185,127,4,201,2,1,3,4578,4206,4029,7077,27,10,17,5,5,2,6181,5888,7017,9435,77,16,234,5,4,3,6140,5135,7175,13960,76,4,99,1,0,5,5100,7375,5640,4363,99,4,222,0,1,1,4254,5257,4172,5452,101,4,25,1,1,1,3737,4103,5215,3930,18,10,2,1,0,6,6,0,1,0,0
1625,31,4,1,2,6347,8606,8516,8682,128,5,59,4,2,4,6512,6721,6563,16268,99,1,134,4,2,3,7054,7374,15028,6571,113,7,222,1,4,1,4998,5326,5444,7508,111,5,117,1,2,4,4533,5136,2399,5855,26,10,122,1,5,0,4976,7327,7103,11721,117,5,421,3,4,4,5521,4947,6557,18899,76,6,8,3,3,3,5913,6973,5700,12580,120,5,18,4,2,3,7157,7225,7045,7211,126,4,111,0,1,6,3847,4028,5491,7442,20,9,8,1,2,4,4,1,0,2,1
2075,10,1,4,0,4123,6536,4949,9800,83,3,35,0,2,6,4806,5687,3987,11708,89,0,518,2,2,0,4451,6490,6152,7686,79,5,21,3,1,2,5404,5402,6679,4713,101,5,60,1,0,3,3689,4866,3683,5237,27,11,54,4,0,0,5216,8324,7594,6086,97,5,82,2,1,1,5272,5972,3686,14613,87,4,777,2,2,0,5095,7162,8586,8990,100,6,498,1,1,0,4637,5106,4358,4133,106,5,78,0,3,1,3566,4171,3880,7043,29,7,0,0,1,0,3,0,1,6,0
1566,110,1,6,1,4154,6725,6464,8939,79,2,83,1,2,4,4768,5568,7455,12184,85,131,800,3,4,1,5613,7416,5268,8840,88,5,42,3,2,0,5088,5425,7691,5393,90,6,902,1,1,4,3938,4387,2979,4097,20,21,157,5,1,2,6180,8315,8909,8192,106,9,141,3,1,3,5949,5477,5385,13174,92,22,84,5,4,0,5303,7011,10152,10452,82,1,360,2,2,1,4990,4925,3527,7131,102,5,412,0,1,5,3686,4115,3137,5970,28,7,1,0,1,4,4,0,0,0,1
1769,112,1,5,0,3823,6321,4538,9725,59,1,203,3,1,2,5218,5511,4464,13830,83,4,24,3,4,3,5150,7634,8271,15321,71,5,21,4,0,0,5499,4796,6838,6648,83,2,60,0,5,3,3988,3425,3785,8371,28,8,80,5,5,3,5441,7850,11331,10580,70,8,131,1,1,2,4869,5559,4205,12981,90,0,127,5,0,0,6496,7910,9650,5732,120,6,51,0,3,2,5031,4997,5335,5543,103,0,875,4,2,0,4738,4233,5895,7417,25,12,6,0,0,6,10,1,2,0,0
2594,122,2,6,1,5454,7111,10858,13449,107,4,20,5,4,2,5731,5383,5438,17627,79,1,3,2,2,4,5227,7617,9537,10403,90,4,222,4,1,3,5401,5236,5492,5485,73,5,99,2,2,4,4691,4335,6621,5588,24,9,106,6,2,0,5633,8356,12487,12675,78,1,91,1,5,2,4796,4963,5832,15886,74,5,8,5,3,0,6107,8223,10238,13982,105,4,18,1,1,0,3572,3700,697,4364,50,1,147,2,4,3,4611,4983,8205,7731,33,10,9,0,1,3,4,0,1,3,1
1612,126,1,1,0,4896,7580,6738,5817,117,4,427,0,6,1,4458,5485,2796,8547,91,12,800,0,3,0,4360,6682,5103,9163,107,4,110,3,1,2,6457,6001,6720,5762,135,4,235,2,1,3,4666,4891,4802,6282,17,6,2,3,1,0,6391,7978,7508,9106,139,5,9,5,0,1,5714,5547,3794,13543,88,1,101,4,0,1,6995,8870,11245,6061,133,4,51,0,3,3,4651,5029,6060,6953,103,5,40,0,2,3,3633,3761,3759,6208,19,14,3,1,1,0,8,2,0,6,0
1742,43,4,1,8,6318,7173,16395,5131,91,7,234,5,3,2,6707,7079,5954,15921,113,4,82,1,5,2,4725,6779,8752,14241,101,4,157,9,3,1,7130,6688,8949,7977,115,7,412,3,4,10,5116,3780,5421,9043,9,10,68,5,2,3,5752,6758,11930,10687,89,4,72,4,4,5,5899,5440,6984,18683,82,3,246,3,6,4,5071,5777,9325,12911,84,4,222,4,4,3,5348,5491,4693,9319,77,3,902,0,6,6,3612,3570,2697,8182,11,23,9,1,0,1,1,0,1,5,1
